epoch,lr,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
1,0.0001,0.18060334608622494,0.10118606838893247,93.2183908045977,96.66666666666667,0.9834710743801653,0.9767441860465116,0.9800960878517502,467.31124329566956
2,0.0001,0.08626774665799217,0.08742999059410868,97.12643678160919,96.89655172413794,0.9693333333333334,0.9945280437756497,0.9817690749493585,485.65890073776245
3,0.0001,0.059494431125770866,0.06754885733744649,98.13218390804597,97.58620689655172,0.9797297297297297,0.9917920656634747,0.9857239972807614,485.491233587265
4,0.0001,0.044850685673602925,0.06641285358189868,98.47701149425288,97.47126436781609,0.9823129251700681,0.987688098495212,0.984993178717599,485.82448649406433
5,0.0001,0.024964755478343238,0.07337144591327643,99.2816091954023,97.35632183908046,0.9822888283378747,0.9863201094391245,0.9843003412969283,483.65376019477844
6,0.0001,0.02625699330810153,0.07569556397659678,99.10919540229885,97.58620689655172,0.9889807162534435,0.9822161422708618,0.9855868222374743,484.8133053779602
7,0.0001,0.013987647700048718,0.09016713826827698,99.45402298850576,96.7816091954023,0.9888734353268428,0.9726402188782489,0.9806896551724138,484.90202379226685
8,0.0001,0.017114378166662527,0.0779812713254998,99.42528735632183,98.04597701149426,0.989041095890411,0.987688098495212,0.9883641341546886,483.61813855171204
9,0.0001,0.02694789294642857,0.07056845108595261,98.9367816091954,97.58620689655172,0.9849726775956285,0.9863201094391245,0.9856459330143541,482.482590675354
10,0.0001,0.00649250851339437,0.07547367694283297,99.91379310344828,97.35632183908046,0.9822888283378747,0.9863201094391245,0.9843003412969283,481.499018907547
11,0.0001,0.0008077799566118581,0.07049200229111101,100.0,97.70114942528735,0.984993178717599,0.987688098495212,0.9863387978142076,482.25301456451416
12,0.0001,0.00024151721859742143,0.07061834766991675,100.0,97.816091954023,0.9863387978142076,0.987688098495212,0.987012987012987,480.51250433921814
13,0.0001,0.00013220798726205424,0.07175343003743043,100.0,97.70114942528735,0.9863201094391245,0.9863201094391245,0.9863201094391245,481.265855550766
