epoch,lr,train_loss,val_loss,train_acc,val_acc,precision,recall,f1_score,epoch_time_sec
1,0.0005,0.2905833371872202,0.20936686504970897,88.41954022988506,93.2183908045977,0.9571619812583668,0.9636118598382749,0.9603760913364674,94.38036775588989
2,0.0005,0.25373384178778446,0.2183872092853893,91.0632183908046,92.75862068965517,0.950863213811421,0.9649595687331537,0.9578595317725752,58.04435443878174
3,0.0005,0.2289858614222719,0.16289478702978655,91.89655172413794,94.71264367816092,0.9578947368421052,0.9811320754716981,0.9693741677762983,58.48877429962158
4,0.0005,0.228871022205834,0.1832017054103992,92.67241379310344,93.10344827586206,0.9417098445595855,0.9797843665768194,0.9603698811096433,58.813188791275024
5,0.0005,0.21030806801324592,0.2620457180987366,92.8735632183908,91.14942528735632,0.905982905982906,1.0,0.9506726457399103,61.27381753921509
6,0.0005,0.204959354508634,0.1773644747212529,93.30459770114942,92.06896551724138,0.9159456118665018,0.9986522911051213,0.9555125725338491,66.69265055656433
7,0.00025,0.16380664942051293,0.14239733598449014,94.25287356321839,96.0919540229885,0.9809782608695652,0.9730458221024259,0.9769959404600812,61.120498180389404
8,0.00025,0.15440274713509675,0.1125532327727838,94.39655172413794,96.66666666666667,0.9798115746971736,0.9811320754716981,0.9804713804713805,99.56653761863708
9,0.00025,0.15264765128766725,0.12607965645464983,94.6264367816092,96.32183908045977,0.9863013698630136,0.9703504043126685,0.9782608695652174,68.99317693710327
10,0.00025,0.13958421082945044,0.13765447591854768,95.22988505747126,94.94252873563218,0.9509043927648578,0.9919137466307277,0.9709762532981531,59.39764094352722
11,0.00025,0.1530239545834174,0.12465959912673993,94.82758620689656,95.74712643678161,0.9656538969616909,0.9851752021563343,0.9753168779186124,61.07291865348816
12,0.000125,0.14454027316575752,0.1151864460923455,95.02873563218391,96.0919540229885,0.9745308310991957,0.9797843665768194,0.9771505376344086,59.73772621154785
